episode_id,instance_seed,map_seed,target_seed,observation_seed,start_seed,start_x,start_y,sensor_range,resolution,action_depth,num_policies,target_x,target_y,success,steps,task_cost,false_finds,collisions,cumulative_inference_ms,final_x,final_y,final_target_distance
map1667601611-target566977183-obs445993290-g10-T2,10,1667601611,566977183,445993290,2052998037,7,8,7.0,10,2,25,19,12,True,13,13.0,0,0,895.4737,14,13,5.0990195135927845
map1667601611-target566977183-obs445993290-g10-T3,10,1667601611,566977183,445993290,2052998037,7,8,7.0,10,3,125,19,12,True,11,11.0,0,0,9527.7035,13,12,6.0
map1667601611-target566977183-obs445993290-g20-T1,10,1667601611,566977183,445993290,2052998037,7,8,7.0,20,1,5,19,12,True,13,13.0,0,0,3412.1741,14,13,5.0990195135927845
map1667601611-target566977183-obs445993290-g20-T2,10,1667601611,566977183,445993290,2052998037,7,8,7.0,20,2,25,19,12,True,11,11.0,0,0,4081.3796999999995,13,12,6.0
map1667601611-target566977183-obs445993290-g20-T3,10,1667601611,566977183,445993290,2052998037,7,8,7.0,20,3,125,19,12,True,11,11.0,0,0,6301.5046,13,12,6.0
map287335974-target1711717682-obs1072191044-g2-T1,11,287335974,1711717682,1072191044,276102407,5,13,6.0,2,1,5,11,10,True,18,18.0,0,0,90.9745,8,5,5.830951894845301
map287335974-target1711717682-obs1072191044-g2-T2,11,287335974,1711717682,1072191044,276102407,5,13,6.0,2,2,25,11,10,True,18,18.0,0,0,163.90550000000002,8,5,5.830951894845301
map287335974-target1711717682-obs1072191044-g2-T3,11,287335974,1711717682,1072191044,276102407,5,13,6.0,2,3,125,11,10,True,18,18.0,0,0,1845.3508999999997,8,5,5.830951894845301
map287335974-target1711717682-obs1072191044-g5-T1,11,287335974,1711717682,1072191044,276102407,5,13,6.0,5,1,5,11,10,True,17,17.0,0,0,269.4816,11,5,5.0
map287335974-target1711717682-obs1072191044-g5-T2,11,287335974,1711717682,1072191044,276102407,5,13,6.0,5,2,25,11,10,True,17,17.0,0,0,393.29479999999995,11,5,5.0
map287335974-target1711717682-obs1072191044-g5-T3,11,287335974,1711717682,1072191044,276102407,5,13,6.0,5,3,125,11,10,True,13,13.0,0,0,8460.779799999998,9,5,5.385164807134504
map287335974-target1711717682-obs1072191044-g10-T1,11,287335974,1711717682,1072191044,276102407,5,13,6.0,10,1,5,11,10,True,17,17.0,0,0,901.1505999999999,9,7,3.605551275463989
map287335974-target1711717682-obs1072191044-g10-T2,11,287335974,1711717682,1072191044,276102407,5,13,6.0,10,2,25,11,10,True,13,13.0,0,0,928.6655000000001,9,5,5.385164807134504
map287335974-target1711717682-obs1072191044-g10-T3,11,287335974,1711717682,1072191044,276102407,5,13,6.0,10,3,125,11,10,True,11,11.0,0,0,9180.4278,8,6,5.0
map287335974-target1711717682-obs1072191044-g20-T1,11,287335974,1711717682,1072191044,276102407,5,13,6.0,20,1,5,11,10,True,17,17.0,0,0,4465.0770999999995,9,7,3.605551275463989
